Donald Trump SACRIFICES Don Jr to Save HIMSELF https://t.co/hNI3ofRImj via @YouTube,1.0
"RT @CarolinaGuyYall: YEP!  Triggered early to remove Trump, the threat to democrat/uniparty/deep state power and corruption and the obstacl…",1.0
"RT @richsignorelli: Call me crazy but I believe that Trump, who continues to assault our democracy, killed hundreds of thousands w/ dishone…",0.0
RT @BillPascrell: 344 days ago terrorists ransacked the US Capitol and *hours later* 138-of-202 (68%) House republicans voted to make trump…,1.0
Opinion | A federal court has ruled that obstructing the electoral vote count is illegal. Trump should panic. - The Washington Post https://t.co/3CTR26MMTK,0.0
"RT @_EthanGrey: Donald Trump did not see himself as being under an obligation to act as a President for all Americans, and his base was wit…",0.0
RT @MeidasTouch: It was not ‘tongue-in-cheek’  https://t.co/fvV6RngVtA,1.0
RT @owillis: Press would be doing weekend overtime if Ilhan Omar said what Trump said about Jewish people. Instead it’s getting the Big Shr…,1.0
😭😭😭😭😭,1.0
RT @CalltoActivism: BOOM: Democrats introduced a bill that would BAR Trump from being buried at Arlington National Cemetery.   Retweet if a…,1.0
"RT @PirrohasFans: In your opinion, did Donald Trump really win the 2020 US Presidential Election?🤔🤔",1.0
RT @PalmerReport: The timing of Rick Perry’s text to Mark Meadows means the Trump regime was already criminally plotting to overthrow the e…,1.0
"‘Trump’s anti-Semitism bleeds out into many aspects of his political style: his attacks on disloyal “globalists,” his demagogic manipulation of the “War on Christmas,” and his blood-and-soil nationalism.’  https://t.co/lMEjHgvz6T",1.0
RT @BradleyWhitford: Retweet this. Relentlessly.,1.0
"RT @fred_guttenberg: When I said he is not a real Republican using the GOP, you didn't believe me.  When I said to my Jewish friends that h…",0.0
RT @glennkirschner2: Jim Jordan sent a text to Mark Meadows urging VP Pence to throw out electoral college votes AFTER Bill Barr said there…,1.0
"RT @MattFnWallace: I know we're all desensitized to corruption and atrocity and powerless to do anything about it besides, but I really can…",0.0
"RT @TheRickWilson: 2/ \"Over these next 11 months, our efforts will be dedicated to defeating Pres Trump and Trumpism at the ballot box and…",1.0
"@scarf1974 @THESXEKAY @valleyofthemud @hotdishpotluck @2RawTooReal And what does that mean?again,you people cannot intelligently back your support of  Biden/Harris without using the name Trump.that's pathetic.",1.0
RT @mbrockenbrough: This is true. And it’s for the same reason Trump lied about his business before his first bankruptcy. It was a gamble a…,1.0
"RT @JoyceWhiteVance: Claire Murray, the acting no. 3 at DOJ at this point, had worked in the Trump WH, as a counselor to Bill Barr &amp; was an…",0.0
RT @TheDailyEdge: WHY ISN'T TUCKER COVERING THIS SCANDAL???  Ivanka Trump was given 3 Chinese trademarks on the day she first had dinner wi…,0.0
"@atensnut Lol, if we're ranking whose most obsessed with Trump, you may want to look in the mirror",1.0
RT @thehill: Biden administration reverses Trump rule allowing more powerful shower heads https://t.co/ijHgWRb9M0 https://t.co/J0SBFuP3dJ,1.0
RT @CLE_SHONUFF: I see Mitch is having a hard time riding Trump's little mushroom cap... https://t.co/lWudnOzwJQ,0.0
RT @MuellerSheWrote: I love @maddow. “Trump’s position is impotent. Flaccid. No political potency.”    She knows exactly what she’s doing.,1.0
RT @CalltoActivism: BOOM: Democrats introduced a bill that would BAR Trump from being buried at Arlington National Cemetery.   Retweet if a…,1.0
RT @WHCOS: I remember when the GOP used to say that Trump's judicial picks were alone enough to prove his leadership.  He won confirmation…,0.0
RT @LuannaSheridan1: #Republicans   Donating to the ⁦@GOP⁩ ?   You need to read this article.   Trump has $100M of your money left but he c…,0.0
RT @Cowboyw2b2: Hmmm… Dan tweeted Tiger Woods whistling “Eye of the Tiger. Timestamp = :45 Trump = 45 “Eye of the Tiger” = theme song Rocky…,1.0
RT @AdamKinzinger: It’s amazing how many “tough guys” are actually afraid cowardly cowards.,1.0
"RT @DavidCornDC: The latest issue of my #ThisLand newsletter is out:  * Mark Meadows, Trump’s chief coup plotter * Dumbass Comment of the W…",0.0
.@wikileaks .@StellaMoris1 .@DefendAssange watch .@MSNBC Trump on #Assange extradition,1.0
